state_fips,state_abbr,zcta,cd
01,AL,30165,3
01,AL,31905,3
01,AL,35004,3
01,AL,35005,6
01,AL,35005,7
01,AL,35006,4
01,AL,35006,6
01,AL,35006,7
01,AL,35007,6
01,AL,35010,2
01,AL,35010,3
01,AL,35010,6
01,AL,35013,6
01,AL,35014,3
01,AL,35016,4
01,AL,35019,4
01,AL,35019,5
01,AL,35020,6
01,AL,35020,7
01,AL,35022,6
01,AL,35022,7
01,AL,35023,6
01,AL,35023,7
01,AL,35031,4
01,AL,35031,6
01,AL,35032,3
01,AL,35033,4
01,AL,35034,6
01,AL,35034,7
01,AL,35035,6
01,AL,35036,6
01,AL,35040,6
01,AL,35042,6
01,AL,35043,6
01,AL,35044,3
01,AL,35045,6
01,AL,35046,6
01,AL,35049,6
01,AL,35051,6
01,AL,35052,3
01,AL,35053,4
01,AL,35054,3
01,AL,35055,4
01,AL,35057,4
01,AL,35058,4
01,AL,35060,6
01,AL,35061,6
01,AL,35061,7
01,AL,35062,4
01,AL,35062,6
01,AL,35063,4
01,AL,35063,6
01,AL,35064,7
01,AL,35068,6
01,AL,35068,7
01,AL,35070,4
01,AL,35071,6
01,AL,35072,3
01,AL,35072,6
01,AL,35073,6
01,AL,35074,6
01,AL,35077,4
01,AL,35078,6
01,AL,35079,6
01,AL,35080,6
01,AL,35082,3
01,AL,35083,4
01,AL,35085,6
01,AL,35087,4
01,AL,35087,5
01,AL,35089,3
01,AL,35089,6
01,AL,35091,6
01,AL,35094,3
01,AL,35094,6
01,AL,35096,3
01,AL,35097,6
01,AL,35098,4
01,AL,35111,6
01,AL,35111,7
01,AL,35112,3
01,AL,35114,6
01,AL,35115,6
01,AL,35116,6
01,AL,35117,6
01,AL,35117,7
01,AL,35118,6
01,AL,35118,7
01,AL,35119,6
01,AL,35120,3
01,AL,35121,3
01,AL,35121,4
01,AL,35121,6
01,AL,35124,6
01,AL,35125,3
01,AL,35126,6
01,AL,35127,6
01,AL,35127,7
01,AL,35128,3
01,AL,35130,4
01,AL,35130,6
01,AL,35131,3
01,AL,35133,3
01,AL,35133,6
01,AL,35135,3
